from,to,year,type,pps
JSA,ASSE,2017,2,"0,4"
LOSC,MBI,2017,1,"1,2"
FDC,LOSC,2017,2,"1,2"
SREN,RCO,2016,1,"1,4"
SLA,SREN,2016,2,2
OM,FPA,2016,1,"1,6"
RG,OM,2016,2,1
FCL,SRI,2016,1,"0,6"
FHA,FCL,2016,2,"0,5"
FCL,FHA,2016,1,"0,2"
BCA,FCL,2016,2,1
LOSC,FA,2016,1,"0,6"
PCO,LOSC,2016,2,2
FCNA,RGI,2016,1,"0,4"
SECO,FCNA,2016,2,"2,4"
MHSC,FRHA,2017,1,"0,8"
JLG,MHSC,2017,2,"1,8"
LOSC,PCO,2017,1,"0,8"
FPA,LOSC,2017,2,"1,6"
SCB,FCIC,2017,1,"0,4"
RA,SCB,2017,2,"0,4"
MHSC,JLG,2017,1,0
MDZ,MHSC,2017,2,"0,8"
FCNA,SECO,2017,1,"1,8"
CR,FCNA,2017,2,"1,4"
ASSE,CGA,2017,1,"0,8"
JSA,ASSE,2017,2,"0,4"
LOSC,FPA,2017,1,"1,8"
MBI,LOSC,2017,2,1
OM,MBI,2015,1,"2,4"
FPA,OM,2015,2,0
OM,FPA,2015,1,0
MI,OM,2015,2,"1,6"
LOSC,HR,2015,1,"1,2"
PCO,LOSC,2015,2,1
LOSC,PCO,2015,1,1
FA,LOSC,2015,2,2
ET,JMF,2015,1,"0,2"
CRO,ET,2015,2,1
MHSC,RCO,2015,1,"1,4"
PBA,MHSC,2015,2,0
OL,HFO,2015,1,"0,2"
BG,OL,2015,2,"1,4"
SREN,PMO,2016,1,"1,8"
RCO,SREN,2016,2,"1,4"
MHSC,PBA,2016,1,0
FRHA,MHSC,2016,2,2
SCB,GPR,2016,1,"1,4"
FCIC,SCB,2016,2,"2,4"
ET,CRO,2016,1,"0,6"
MBR,ET,2016,2,"0,6"
TOUFC,DARR,2016,1,"0,4"
PDU,TOUFC,2016,2,2
FCGB,WSA,2016,1,1
URA,FCGB,2016,2,"1,6"
OM,MI,2016,1,"0,4"
FPA,OM,2016,2,"1,8"
SREI,OGU,2016,1,"0,6"
DGU,SREI,2016,2,"1,8"
PSG,LB,2016,1,"2,6"
UM,PSG,2016,2,2
FCNA,MDZ,2016,1,"0,8"
RGI,FCNA,2016,2,"0,8"
ET,MBR,2016,1,"0,8"
JLGA,ET,2016,2,1
OGCN,CPU,2016,1,2
LFA,OGCN,2016,2,"2,2"
FCGB,URA,2016,1,"1,4"
JGO,FCGB,2016,2,"1,8"
EAG,JGO,2016,1,1
AK,EAG,2016,2,"1,6"
SCB,CMAK,2014,1,"0,6"
GPR,SCB,2014,2,"0,8"
TOUFC,ACAS,2015,1,"0,8"
DARR,TOUFC,2015,2,2
SREI,JLV,2015,1,"0,8"
OGU,SREI,2015,2,"1,2"
LOSC,RGI,2015,1,"1,2"
PCO,LOSC,2015,2,"2,2"
ODA,FCSM,2013,2,"1,5"
FCSM,EH,2013,1,"0,2"
HR,FCSM,2013,2,"0,6"
FCSM,ODA,2013,1,"0,6"
AJ,FCV,2013,2,"1,2"
FCV,DSA,2013,1,"0,2"
CBR,ACA,2013,2,"0,4"
ACA,FRA,2013,1,"0,2"
RCO,MHSC,2013,2,"1,6"
MHSC,JF,2013,1,"0,6"
JAN,OM,2013,2,"1,6"
OM,EB,2013,1,"1,8"
WSA,FCGB,2014,2,2
FCGB,FGI,2014,1,"1,6"
OM,DD,2012,1,"1,4"
EB,OM,2012,2,3
FCET,PCOR,2012,1,"0,2"
PDU,FCET,2012,2,"1,4"
ACA,ADU,2012,1,1
AEM,ACA,2012,2,"1,2"
ASL,JF,2013,1,"0,8"
PGA,ASL,2013,2,"1,4"
SB29,LCH,2013,1,"0,8"
CMA,SB29,2013,2,0
ACA,AEM,2013,1,1
FRA,ACA,2013,2,"0,6"
LOSC,RG,2013,1,"1,2"
RGI,LOSC,2013,2,"1,4"
MHSC,RGI,2013,1,"0,8"
JF,MHSC,2013,2,"1,2"
PSG,CA,2013,1,"2,6"
UM,PSG,2013,2,2
FCSR,FA,2013,1,"0,8"
PMO,FCSR,2013,2,"1,6"
OGCN,RMAR,2012,1,1
CPU,OGCN,2012,2,"1,2"
DFCO,PCA,2012,1,"0,4"
OD,DFCO,2012,2,"0,8"
SB29,CMA,2012,1,"1,6"
LCH,SB29,2012,2,"1,2"
ACA,OPA,2012,1,"1,4"
ADU,ACA,2012,2,"1,4"
SB29,ADU,2012,1,"0,6"
CMA,SB29,2012,2,"1,6"
AJA,LFO,2012,1,"0,6"
JGW,AJA,2012,2,"0,8"
FCSM,MEBA,2012,1,"0,4"
EH,FCSM,2012,2,"1,8"
PSG,AK,2012,1,2
CA,PSG,2012,2,"2,2"
FCET,BCA,2012,1,"1,2"
PCOR,FCET,2012,2,1
SMC,FD,2011,1,"0,8"
PG,SMC,2011,2,"1,2"
OGCN,ERO,2011,1,1
RMAR,OGCN,2011,2,"1,2"
