from,to,year,type,pps
BOFC,APAR,2016,1,"0,8"
SA,BOFC,2016,2,"0,2"
SWA,FGU,2016,1,"0,2"
BBR,SWA,2016,2,"0,4"
AFCS,SA,2016,1,"1,8"
DM,AFCS,2016,2,"0,2"
HC,SBR,2016,1,"0,8"
MPH,HC,2016,2,"1,4"
MU,LVG,2016,1,2
JM,MU,2016,2,"1,8"
EVFC,DU,2016,1,"1,2"
RK,EVFC,2016,2,"2,6"
FCW,QSF,2016,1,"0,8"
WM,FCW,2016,2,"1,4"
SOFC,RK,2016,1,"2,6"
CPU,SOFC,2016,2,1
MC,MPE,2016,1,"1,2"
PGU,MC,2016,2,3
CFC,GH,2016,1,"1,2"
AC,CFC,2016,2,2
AV,RGA,2016,1,0
EBL,AV,2016,2,0
EVFC,ROMA,2016,1,"0,8"
DU,EVFC,2016,2,"1,4"
NU,STMC,2016,1,"0,6"
RB,NU,2016,2,"0,8"
SWA,ACU,2016,1,"1,4"
FGU,SWA,2016,2,1
CFC,JM,2015,1,"0,8"
GH,CFC,2015,2,"1,4"
SWA,GM,2015,1,"0,2"
ACU,SWA,2015,2,1
AV,TSH,2015,1,0
RGA,AV,2015,2,"0,4"
LFC,BR,2015,1,1
JKLO,LFC,2015,2,"1,6"
AFCS,DA,2015,1,"0,4"
SA,AFCS,2015,2,"1,2"
NU,JCA,2015,1,"0,8"
STMC,NU,2015,2,"0,4"
LEC,NP,2015,1,2
CR,LEC,2015,2,"2,2"
WHU,SA,2015,1,"0,8"
DM,WHU,2015,2,"0,8"
AFCS,GPO,2015,1,"0,4"
DA,AFCS,2015,2,"1,4"
AV,SMA,2015,1,0
TSH,AV,2015,2,"1,2"
QPR,HRE,2015,1,"0,4"
CRA,QPR,2015,2,"0,6"
WBA,AIR,2015,1,"0,8"
RKE,WBA,2015,2,"0,4"
WBA,RKE,2015,1,"0,8"
TP,WBA,2015,2,"1,6"
NU,APAR,2015,1,"0,8"
STMC,NU,2015,2,"0,4"
BOFC,KM,2015,1,"0,6"
APAR,BOFC,2015,2,2
BOFC,TP,2014,1,"1,6"
KM,BOFC,2014,2,"0,5"
BOFC,KM,2014,1,"0,4"
NWA,BOFC,2014,2,"1,6"
BOFC,NWA,2014,1,"0,4"
KM,BOFC,2014,2,1
WBA,PME,2014,1,"0,6"
AIR,WBA,2014,2,1
TH,TSH,2014,1,2
MP,TH,2014,2,"1,4"
SOFC,MP,2014,1,"1,6"
RK,SOFC,2014,2,2
LVG,MU,2014,2,1
MU,DM,2014,1,"1,8"
NAD,NOR,2014,2,"0,2"
NOR,CH,2014,1,"0,8"
FMA,FFC,2014,2,"0,8"
FFC,RME,2014,1,"0,2"
GM,SWA,2014,2,1
SWA,ML,2014,1,"0,6"
PME,WBA,2014,2,"0,6"
WBA,KD,2014,1,"1,2"
OGS,CAR,2014,2,"0,6"
CAR,DK,2014,1,"0,8"
DK,CAR,2013,2,"0,8"
CAR,MMA,2013,1,"0,8"
KD,WBA,2013,2,"1,2"
WBA,SCL,2013,1,"0,2"
TH,AVB,2013,1,"1,4"
AVB,TH,2013,2,"2,6"
RME,FFC,2013,2,"1,2"
FFC,MJ,2013,1,0
KM,BOFC,2013,2,"0,8"
BOFC,IH,2013,1,0
TP,BOFC,2013,2,"1,2"
BOFC,KM,2013,1,"0,8"
KB,AFCS,2013,2,0
AFCS,PDC,2013,1,"0,2"
GPO,AFCS,2013,2,"1,2"
AFCS,KB,2013,1,0
MC,BK,2013,1,"1,5"
MPE,MC,2013,2,2
STO,TP,2013,1,"1,6"
MHU,STO,2013,2,"1,4"
MU,SAF,2013,1,"1,6"
DM,MU,2013,2,"1,4"
EVFC,DM,2013,1,"1,4"
DU,EVFC,2013,2,"1,4"
CFC,RB,2013,1,"2,6"
JM,CFC,2013,2,2
MC,ROM,2013,1,2
BK,MC,2013,2,"1,5"
AFCS,MON,2013,1,"0,4"
PDC,AFCS,2013,2,"1,4"
FCR,ED,2013,1,0
NADK,FCR,2013,2,"0,4"
SOFC,NADK,2013,1,"1,4"
MP,SOFC,2013,2,1
CFC,RDM,2012,1,1
RB,CFC,2012,2,"1,6"
QPR,MHU,2012,1,"0,4"
HRE,QPR,2012,2,"1,2"
AV,AML,2012,1,"0,6"
PL,AV,2012,2,"0,8"
WBA,RH,2012,1,"1,6"
SCL,WBA,2012,2,2
LFC,SKD,2012,1,"1,2"
BR,LFC,2012,2,"0,4"
NOR,PL,2012,1,"0,8"
CH,NOR,2012,2,"0,6"
TH,HRE,2012,1,2
AVB,TH,2012,2,"1,6"
SWA,BR,2012,1,"1,6"
GM,SWA,2012,2,1
CFC,AVB,2012,1,1
RDM,CFC,2012,2,2
WW,MMC,2012,1,"0,8"
TC,WW,2012,2,"0,2"
QPR,NWA,2012,1,"0,2"
MHU,QPR,2012,2,"0,8"
AFCS,SBR,2011,1,"0,4"
MON,AFCS,2011,2,2
