from,to,year,type,pps,effect
ASAD,LEC,2023,2,0,2
MSKU,LU,2023,2,"0,33",2
NJ,SOFC,2022,2,"0,6",2
BL,SDA,2022,2,"0,8",2
MMC,BOFC,2022,2,0,2
VK,FCBU,2022,2,"0,2",2
PV,BOFC,2021,2,1,2
BL,WW,2021,2,"0,6",2
HM,FCW,2019,2,"0,25",2
KDA,SOFC,2018,2,0,2
MHUD,HT,2019,2,0,2
MPE,WHU,2018,2,"0,6",2
MSI,EVFC,2018,2,"1,2",2
MHU,SOFC,2018,2,"0,8",2
DM,WHU,2017,2,"0,8",2
FDB,BOFC,2017,2,0,2
SA,BOFC,2016,2,"0,2",2
JM,MU,2016,2,"1,8",2
FGU,SWA,2016,2,1,2
STMC,NU,2015,2,"0,4",2
STMC,NU,2015,2,"0,4",2
MP,TH,2014,2,"1,4",2
LVG,MU,2014,2,1,2
NAD,NOR,2014,2,"0,2",2
PME,WBA,2014,2,"0,6",2
OGS,CAR,2014,2,"0,6",2
KB,AFCS,2013,2,0,2
MHU,STO,2013,2,"1,4",2
DM,MU,2013,2,"1,4",2
JM,CFC,2013,2,2,2
BK,MC,2013,2,"1,5",2
MP,SOFC,2013,2,1,2
BR,LFC,2012,2,"0,4",2
CH,NOR,2012,2,"0,6",2
AVB,TH,2012,2,"1,6",2
GM,SWA,2012,2,1,2
TC,WW,2012,2,"0,2",2
AI,AFC,2023,2,"0,6",3
MP,CFC,2023,2,1,3
DS,NOR,2021,2,1,3
NES,TH,2021,2,"1,8",3
SA,WBA,2020,2,"0,8",3
PH,SU,2021,2,"0,6",3
UM,ARFC,2018,2,"1,8",3
APAR,WBA,2017,2,"0,4",3
SAGN,FCMI,2017,2,"0,4",3
EBL,AV,2016,2,0,3
DM,WHU,2015,2,"0,8",3
MPE,MC,2013,2,2,3
DU,EVFC,2013,2,"1,4",3
SA,LU,2023,2,"0,25",4
DS,LEC,2023,2,1,4
RS,SOFC,2023,2,"1,4",4
RS,SOFC,2023,2,"1,4",4
ADA,AV,2022,2,"1,5",4
GP,CFC,2022,2,"2,2",4
GON,AFC,2022,2,"1,8",4
CR,FCW,2021,2,"1,2",4
GJ,NU,2021,2,"0,67",4
EHO,NU,2021,2,1,4
RR,MU,2021,2,2,4
FL,EVFC,2022,2,"0,6",4
RH,FCW,2022,2,"0,8",4
RB,EVFC,2021,2,2,4
RYM,TH,2021,2,"1,8",4
FLJ,ARFC,2019,2,1,4
DF,EVFC,2019,2,"1,25",4
MA,ARFC,2019,2,"1,2",4
DM,WHU,2019,2,"0,8",4
CR,FFC,2018,2,"0,8",4
RHA,SOFC,2018,2,"1,2",4
JSI,HT,2019,2,"0,6",4
GP,BHA,2019,2,1,4
FL,CFC,2019,2,"1,6",4
PL,STO,2018,2,"1,2",4
SA,EVFC,2017,2,"2,2",4
GME,WBA,2017,2,1,4
DU,EVFC,2017,2,"1,4",4
CPU,LEC,2017,2,"1,6",4
RH,BOFC,2017,2,"0,6",4
MAP,SOFC,2017,2,"1,6",4
ACU,SWA,2016,2,"1,5",4
BBR,SWA,2016,2,"0,4",4
MPH,HC,2016,2,"1,4",4
WM,FCW,2016,2,"1,4",4
AC,CFC,2016,2,2,4
DU,EVFC,2016,2,"1,4",4
RB,NU,2016,2,"0,8",4
GH,CFC,2015,2,"1,4",4
ACU,SWA,2015,2,1,4
RGA,AV,2015,2,"0,4",4
JKLO,LFC,2015,2,"1,6",4
SA,AFCS,2015,2,"1,2",4
CR,LEC,2015,2,"2,2",4
CRA,QPR,2015,2,"0,6",4
RKE,WBA,2015,2,"0,4",4
KM,BOFC,2014,2,"0,5",4
AIR,WBA,2014,2,1,4
RK,SOFC,2014,2,2,4
FMA,FFC,2014,2,"0,8",4
GM,SWA,2014,2,1,4
KM,BOFC,2013,2,"0,8",4
TP,BOFC,2013,2,"1,2",4
NADK,FCR,2013,2,"0,4",4
RB,CFC,2012,2,"1,6",4
HRE,QPR,2012,2,"1,2",4
PL,AV,2012,2,"0,8",4
SCL,WBA,2012,2,2,4
MHU,QPR,2012,2,"0,8",4
AP,TH,2023,2,"2,6",5
RH,BOFC,2023,2,2,5
JG,LU,2023,2,"1,4",5
SD,EVFC,2023,2,"1,2",5
MSKU,WW,2023,2,"1,4",5
UM,AV,2022,2,2,5
AC,TH,2021,2,"2,2",5
STGE,AV,2021,2,"1,8",5
MCA,MU,2021,2,2,5
JMA,LU,2022,2,"1,4",5
MJA,FCBU,2022,2,2,5
ETH,MU,2022,2,"1,8",5
MSI,FFC,2021,2,"1,6",5
TT,CFC,2021,2,"2,6",5
JM,TH,2019,2,"2,4",5
NP,FCW,2019,2,2,5
CA,EVFC,2019,2,2,5
MS,CFC,2018,2,3,5
OGS,MU,2018,2,3,5
BR,LEC,2019,2,"2,4",5
JG,FCW,2018,2,2,5
CC,SWA,2018,2,2,5
MSI,FCW,2017,2,"1,6",5
PCL,SWA,2017,2,"1,8",5
MSI,HC,2017,2,"1,4",5
RK,EVFC,2016,2,"2,6",5
PGU,MC,2016,2,3,5
DA,AFCS,2015,2,"1,4",5
TSH,AV,2015,2,"1,2",5
TP,WBA,2015,2,"1,6",5
APAR,BOFC,2015,2,2,5
NWA,BOFC,2014,2,"1,6",5
DK,WBA,2013,2,"1,2",5
AVB,TH,2013,2,"2,6",5
RME,FFC,2013,2,"1,2",5
GPO,AFCS,2013,2,"1,2",5
PDC,AFCS,2013,2,"1,4",5
RDM,CFC,2012,2,2,5
MON,AFCS,2011,2,2,5
DMO,WBA,2018,2,"2,2",6
CSH,LEC,2017,2,3,6
LZ,ALA,2017,2,0,0.5
RK,FCBA,2020,2,"1,4",1
DG,RCD,2019,2,"0,8",1
MI,SDH,2019,2,"0,8",1
RU,RCD,2018,2,"1,4",1
PAY,UDLP,2017,2,0,1
MRO,FCM,2016,2,"0,2",1
TAD,GRFC,2017,2,0,1
ATR,RBE,2017,2,1,1
JCU,RCC,2017,2,"1,4",1
JC,CAO,2016,2,0,1
PJ,GRFC,2016,2,"0,4",1
GN,VCF,2015,2,"0,6",1
MD,VCF,2013,2,"1,2",1
SBE,FCE,2023,2,0,2
RB,RCC,2023,2,"0,8",2
VM,UDA,2023,2,"0,2",2
SBA,FCBA,2021,2,1,2
MI,GCF,2021,2,0,2
ALC,VCF,2019,2,"1,6",2
PMA,RCD,2019,2,"0,6",2
FRU,RCD,2020,2,0,2
LG,VICF,2018,2,"0,8",2
RU,RBE,2019,2,1,2
PMA,SEFC,2018,2,"1,4",2
MAP,CDL,2018,2,"0,2",2
JOG,FCM,2018,2,"0,4",2
VMO,SEFC,2017,2,"0,8",2
CPA,DLC,2017,2,"0,8",2
CPR,VCF,2016,2,1,2
JR,FCM,2016,2,1,2
QSF,RCD,2016,2,1,2
PAF,GCF,2015,2,"1,2",2
JLM,UDLE,2014,2,"0,8",2
JG,FCM,2014,2,"1,2",2
EBE,RCC,2014,2,"1,8",2
JCG,RBE,2013,2,"0,2",2
LAL,GRFC,2013,2,"1,2",2
LEN,RCC,2013,2,"1,2",2
JAR,RSO,2013,2,"1,2",2
MAP,VCF,2012,2,1,2
ACE,RSA,2012,2,"0,2",2
JC,RCDM,2011,2,"0,6",2
JPE,UDLE,2021,2,"0,4",3
LG,ALA,2022,2,"1,2",3
GG,VCF,2022,2,"1,2",3
CA,RM,2021,2,"2,6",3
MAR,ABI,2021,2,"1,4",3
AB,ALA,2021,2,"0,8",3
JG,VCF,2020,2,"1,4",3
PMA,ALA,2020,2,"0,8",3
CS,DLC,2018,2,"0,4",3
CZ,ABI,2017,2,"1,4",3
EV,FCBA,2017,2,3,3
GPO,RBE,2016,2,1,3
COG,RCD,2015,2,"0,8",3
RB,RM,2015,2,"2,6",3
VF,DLC,2014,2,"0,8",3
GMAR,FCBA,2013,2,3,3
JC,UDLE,2013,2,"1,2",3
LAL,GRFC,2012,2,"1,2",3
JS,SEFC,2022,2,1,4
JA,FCE,2022,2,"0,4",4
QS,VICF,2022,2,"1,8",4
PMA,FCE,2022,2,"0,4",4
PP,RVAD,2023,2,"1,4",4
LG,RCD,2023,2,"0,8",4
JLM,ALA,2021,2,"0,4",4
QSF,GCF,2021,2,1,4
SEMA,FCE,2021,2,"0,5",4
AL,UDLE,2021,2,"0,8",4
SE,CCF,2022,2,"1,2",4
RT,GRFC,2022,2,"0,8",4
JV,ALA,2022,2,"1,2",4
AKA,GRFC,2022,2,"1,6",4
LBL,RCD,2022,2,1,4
DMA,RCD,2022,2,"0,8",4
EV,ABI,2022,2,2,4
PBO,VCF,2021,2,2,4
PA,RVAD,2021,2,"0,8",4
RMO,GRFC,2021,2,"0,6",4
UM,VICF,2020,2,"1,6",4
JA,FCE,2020,2,2,4
PA,SDH,2021,2,"0,8",4
FE,FCE,2021,2,"1,2",4
VO,VCF,2021,2,"1,4",4
LC,CDL,2019,2,1,4
OGA,RCC,2019,2,1,4
JAG,CDL,2019,2,1,4
QS,FCBA,2020,2,"2,4",4
VO,VCF,2020,2,"1,4",4
LG,RCDM,2020,2,"1,6",4
FR,SDH,2018,2,"0,4",4
MCAR,RCC,2018,2,"1,4",4
JAC,VICF,2019,2,1,4
FE,RCC,2019,2,"1,4",4
ZIZI,RM,2019,2,2,4
AG,ALA,2019,2,1,4
JL,SEFC,2019,2,2,4
EU,GFC,2018,2,"1,6",4
EBE,ABI,2018,2,"1,2",4
AMO,RCC,2018,2,"1,6",4
AG,RSO,2018,2,"1,4",4
GDB,ALA,2017,2,"0,6",4
LAL,GRFC,2016,2,"0,6",4
VSA,RBE,2016,2,"1,4",4
VO,VCF,2016,2,"1,2",4
PVA,CAO,2017,2,"0,6",4
RU,SG,2017,2,"0,8",4
MI,FCM,2017,2,"1,4",4
MAR,VCF,2017,2,"1,8",4
GGA,DLC,2016,2,1,4
ZIZI,RM,2016,2,"2,6",4
VO,VCF,2015,2,"1,6",4
EU,RSO,2015,2,"1,4",4
RU,UDLE,2015,2,1,4
QS,UDLP,2015,2,1,4
JLM,SDEI,2015,2,"1,6",4
FE,GCF,2015,2,"0,6",4
VSA,DLC,2015,2,"0,6",4
SBA,UDA,2015,2,"1,2",4
JARO,FCCO,2015,2,"0,4",4
ARE,GRFC,2015,2,1,4
QSF,GCF,2015,2,"1,2",4
DM,RSO,2014,2,"1,2",4
MD,FCCO,2014,2,"0,6",4
LAL,UDLE,2014,2,"1,4",4
VO,VCF,2014,2,"1,6",4
SE,RCD,2014,2,1,4
LEN,FCBA,2014,2,"2,6",4
JC,GRFC,2014,2,"1,6",4
JG,CAO,2013,2,"1,2",4
NE,VCF,2013,2,"0,8",4
JAP,VCF,2013,2,"1,6",4
GCA,RBE,2014,2,"0,6",4
CCO,GCF,2014,2,"0,8",4
JAG,RCD,2012,2,"1,2",4
DP,DLC,2012,2,"0,8",4
JRO,FCBA,2013,2,"2,6",4
FV,DLC,2013,2,"0,8",4
ARE,RCC,2013,2,"0,8",4
TV,FCBA,2013,2,"2,6",4
JIM,RVAD,2013,2,"0,8",4
EV,ABI,2013,2,"1,8",4
CA,RM,2013,2,"2,6",4
BSCHU,FCM,2013,2,1,4
PJ,RV,2012,2,"1,4",4
JACL,SG,2012,2,1,4
JFM,VICF,2011,2,"1,6",4
MJI,SAR,2011,2,"0,4",4
CC,RCC,2022,2,"1,2",5
RBA,VCF,2023,2,"1,2",5
JLM,SEFC,2023,2,"2,6",5
PBO,GCF,2023,2,"1,4",5
FR,RV,2023,2,"1,8",5
FR,FCE,2021,2,"1,4",5
JAG,RCDM,2022,2,"1,2",5
JAC,ALA,2021,2,"1,6",5
AB,RCD,2019,2,"1,6",5
JMU,ALA,2020,2,1,5
MPE,RBE,2020,2,"1,8",5
GGA,AB,2018,2,"2,2",5
IA,RSO,2018,2,"2,2",5
JC,SEFC,2019,2,"2,4",5
PJ,RV,2019,2,1,5
JL,RM,2018,2,"2,6",5
IA,RSO,2018,2,2,5
PLO,UDLE,2018,2,2,5
PJ,UDLP,2017,2,"1,2",5
JAC,VICF,2017,2,"2,6",5
AB,ALA,2017,2,"1,8",5
PME,DLC,2017,2,"1,6",5
QS,RBE,2017,2,"1,8",5
MAMA,UDLP,2017,2,"1,2",5
FE,VICF,2016,2,"1,8",5
EBE,SEFC,2017,2,"2,6",5
JMU,UDLE,2016,2,"1,8",5
JS,SEFC,2016,2,"2,2",5
JE,GCF,2016,2,"1,6",5
PAY,VCF,2016,2,2,5
JOG,GRFC,2016,2,"1,6",5
JME,RBE,2016,2,"1,2",5
JRS,GRFC,2015,2,2,5
JIM,UDA,2014,2,"1,2",5
EV,VCF,2012,2,"2,4",5
UM,SEFC,2013,2,2,5
GMA,RCDM,2013,2,"1,4",5
TV,FCBA,2012,2,3,5
MALO,VICF,2012,2,"1,6",5
MI,SEFC,2012,2,"1,4",5
DSI,AM,2011,2,"2,2",5
JOG,RSA,2011,2,"2,2",5
ARE,GRFC,2011,2,"1,8",5
EC,RCC,2020,2,"2,4",6
SSO,RM,2018,2,"2,4",6
JC,SEFC,2018,2,"2,6",6
DG,RCD,2018,2,"2,6",6
VO,VCF,2016,2,2,6
LS,SP,2023,2,"1,2",1
ADI,USSA,2021,2,"0,8",1
MAA,JU,2021,2,1,1
RD,SAG,2021,2,1,1
FAL,PC,2020,2,"0,8",1
IJ,GCFC,2018,2,"0,4",1
MGI,ACMI,2019,2,"1,2",1
GST,FCCR,2018,2,"0,2",1
GG,SSCN,2018,2,"0,6",1
CB,USSA,2017,2,"0,8",1
GPG,AT,2016,2,"0,6",1
MARA,CCA,2014,2,"0,8",1
LUD,GCFC,2012,2,0,1
FAL,GCFC,2013,2,"0,8",1
TM,BFC,2022,2,"0,8",2
SBO,HV,2022,2,0,2
RG,SSCN,2023,2,"1,6",2
PZ,EMFC,2022,2,"0,8",2
DN,USS,2022,2,"0,6",2
ASH,GCFC,2021,2,"0,2",2
STCO,USS,2021,2,"0,6",2
EDF,HV,2021,2,0,2
TM,SP,2021,2,"0,8",2
CPR,ACF,2020,2,"0,4",2
MGI,FCT,2020,2,"0,2",2
RMA,GCFC,2020,2,1,2
MLO,FCT,2020,2,"0,8",2
ECO,BC,2019,2,0,2
LGO,UCA,2019,2,1,2
SPI,ACMI,2019,2,"0,8",2
CR,ASR,2019,2,"1,4",2
VMO,ACF,2019,2,"0,2",2
EDF,SAG,2019,2,"0,6",2
PF,ASR,2019,2,"2,2",2
RMA,CCA,2018,2,1,2
WZ,FCCR,2017,2,"0,6",2
GG,ACMI,2017,2,1,2
RDZ,PFC,2016,2,1,2
FPE,HV,2016,2,"0,4",2
GIMA,EMFC,2016,2,"0,8",2
DB,PFC,2016,2,"0,8",2
GT,PFC,2016,2,"0,67",2
GI,PFC,2016,2,"0,33",2
WN,PFC,2016,2,"0,25",2
VMO,SAG,2015,2,"0,8",2
PS,ACF,2014,2,"2,4",2
ROM,IM,2014,2,1,2
DDC,FCCE,2014,2,"0,2",2
RMA,CAFC,2013,2,"1,2",2
AMA,USSA,2014,2,0,2
DN,USLI,2014,2,0,2
ZZ,CCA,2014,2,"1,2",2
SPI,ASR,2014,2,"1,2",2
FI,ACMI,2014,2,"1,6",2
AAL,JU,2012,2,"2,4",2
GI,ACNS,2012,2,"0,6",2
GPG,PFC,2013,2,"0,5",2
CB,PC36,2013,2,0,2
GSA,CVE,2013,2,"0,8",2
GC,HV,2022,2,1,3
GC,UCA,2021,2,1,3
RD,PC,2021,2,"0,2",3
LDB,SPAL,2020,2,"0,6",3
GG,SSCN,2019,2,"0,6",3
RDZ,BEC,2017,2,0,3
EDF,ASR,2017,2,"2,4",3
GG,ACMI,2016,2,1,3
FACA,FCCA,2015,2,"0,8",3
MGI,EMFC,2014,2,"0,8",3
STCO,UCA,2014,2,"0,6",3
SM,ACMI,2014,2,"1,8",3
MAA,JU,2014,2,3,3
ZZ,CCA,2015,2,"0,2",3
AC,JU,2012,2,2,3
DR,SAG,2012,2,"1,4",3
VMO,ACF,2012,2,"1,6",3
MACA,JU,2012,2,"2,6",3
MBE,FCCE,2012,2,"0,2",3
SCO,USL,2011,2,"0,8",3
DR,ACF,2011,2,1,3
DST,SAG,2022,2,"0,8",4
DB,USC,2023,2,"0,4",4
PS,USS,2023,2,"1,2",4
MB,HV,2023,2,"1,4",4
ANSO,UCA,2022,2,2,4
LGO,SP,2022,2,1,4
AAG,CCA,2022,2,"0,67",4
MGI,SAG,2022,2,"1,2",4
ABL,GCFC,2022,2,1,4
WM,CCA,2021,2,1,4
SI,IM,2021,2,"2,6",4
IJ,FCT,2021,2,"1,4",4
MS,LR,2021,2,"1,6",4
VIT,ACF,2021,2,"1,8",4
LSP,SSCN,2021,2,3,4
GI,ACF,2021,2,1,4
SCO,FCCR,2021,2,"0,6",4
DN,FCT,2021,2,"1,4",4
EDF,CCA,2020,2,"1,4",4
API,JU,2020,2,"1,8",4
DL,BC,2020,2,"0,4",4
DN,GCFC,2019,2,1,4
TM,GCFC,2019,2,1,4
CR,SAG,2019,2,"1,2",4
GPV,CVE,2018,2,"0,25",4
DDC,CVE,2018,2,1,4
DN,UCA,2018,2,1,4
CPR,GCFC,2018,2,1,4
MB,FCAL,2018,2,1,4
SM,FCBO,2019,2,"0,8",4
AA,EMFC,2019,2,"1,4",4
IT,UCA,2019,2,"1,4",4
AA,GCFC,2019,2,1,4
RDZ,USSA,2018,2,2,4
FI,FCBO,2018,2,"0,8",4
JV,UCA,2018,2,"1,6",4
DB,GCFC,2017,2,"1,6",4
LUD,UCA,2016,2,"1,6",4
SPI,IM,2016,2,2,4
ECO,PFC,2016,2,"0,8",4
DL,PFC,2017,2,1,4
ZZ,PC36,2017,2,"0,6",4
ANMA,GCFC,2017,2,"0,8",4
IJ,GCFC,2017,2,"0,8",4
FI,LR,2016,2,"1,4",4
SPI,ACF,2017,2,"1,2",4
FDB,IM,2016,2,2,4
IJ,GCFC,2016,2,"1,6",4
MGI,SAG,2016,2,"1,2",4
GI,UCA,2016,2,"1,4",4
GBS,PFC,2016,2,"1,5",4
SI,LR,2016,2,"1,8",4
LSP,ASR,2016,2,2,4
LUD,HV,2015,2,"0,4",4
GSA,FCCA,2015,2,"0,8",4
RMA,CVE,2014,2,1,4
ERE,AT,2015,2,"1,2",4
SM,SAG,2013,2,"1,8",4
DB,FCBO,2014,2,"1,2",4
LDC,CAFC,2014,2,"0,8",4
EDF,USSA,2014,2,"0,8",4
IP,CCA,2014,2,"1,4",4
GPG,PFC,2012,2,1,4
CBE,PC36,2012,2,"1,2",4
DB,GCFC,2013,2,"1,8",4
AMA,PFC,2013,2,1,4
GSA,PFC,2013,2,"1,6",4
RB,SSCN,2013,2,"2,6",4
DL,CCA,2013,2,"1,2",4
GSA,PFC,2012,2,"0,8",4
VP,LR,2012,2,"1,8",4
VG,ACF,2012,2,2,4
LDC,GCFC,2012,2,"1,2",4
AMA,GCFC,2012,2,"0,67",4
MFI,CCA,2012,2,"1,4",4
ATE,NFC,2012,2,"1,6",4
EMO,NFC,2012,2,1,4
BM,PFC,2011,2,"1,4",4
DB,CCA,2011,2,1,4
CR,IM,2011,2,"1,4",4
DEM,PFC,2011,2,2,4
PMAR,GCFC,2011,2,"1,8",4
RP,ACMO,2022,2,"1,8",5
MZ,HV,2022,2,"1,6",5
RD,USL,2023,2,"2,2",5
ASO,VFC,2022,2,1,5
IT,HV,2021,2,"1,6",5
JM,ASR,2021,2,"2,4",5
LS,CCA,2021,2,"1,4",5
DB,GCFC,2020,2,"1,6",5
WZ,CCA,2020,2,"1,4",5
GI,ACF,2019,2,"1,6",5
FG,BC,2019,2,0,5
GI,EMFC,2018,2,2,5
AC,IM,2019,2,3,5
LDA,CVE,2018,2,"1,8",5
WM,FCT,2018,2,"2,2",5
GI,USSA,2017,2,2,5
MOD,UCA,2017,2,"2,4",5
DL,CCA,2017,2,"1,8",5
SVE,IM,2016,2,"2,25",5
DBO,PFC,2017,2,"1,6",5
SVE,IM,2017,2,2,5
LSP,IM,2017,2,"2,6",5
WM,FCT,2016,2,"2,2",5
CB,ACMI,2016,2,"1,6",5
DB,PFC,2016,2,"1,6",5
LDC,UCA,2016,2,"1,6",5
RODO,FCBO,2015,2,2,5
WZ,SAG,2014,2,2,5
CA,SSCN,2014,2,"2,4",5
GZO,CCA,2014,2,"1,4",5
GIF,CCA,2015,2,"1,4",5
GPG,GCFC,2013,2,2,5
ECO,CVE,2013,2,"1,2",5
ERE,LR,2014,2,"2,2",5
CS,ACMI,2014,2,2,5
DDC,USLI,2014,2,"1,4",5
MAP,CAFC,2014,2,"1,8",5
AST,UCA,2014,2,"2,4",5
ECO,CVE,2012,2,"1,4",5
AA,ASR,2013,2,2,5
RG,ASR,2013,2,3,5
SCO,ACNS,2012,2,"1,6",5
RMA,CAFC,2012,2,"1,6",5
ZZ,ASR,2012,2,"1,6",5
AST,IM,2012,2,"2,2",5
RODO,PC,2011,2,"1,8",5
DAR,FCCE,2011,2,"1,8",5
SPI,FCBO,2011,2,"1,8",5
MFI,CCA,2011,2,2,5
FLO,SP,2023,2,3,6
MS,JU,2019,2,"2,6",6
IT,UCA,2018,2,2,6
IP,CC,2012,2,"2,4",6
WM,IM,2013,2,"2,6",6
VP,FCGB,2021,2,"0,4",1
LFA,OGCN,2022,2,1,1
JGO,LOSC,2021,2,1,1
RMO,ASM,2020,2,"0,8",1
SY,OL,2019,2,"1,6",1
OGA,SREI,2019,2,"1,2",1
EBED,FCGB,2018,2,"1,4",1
PBA,MHSC,2015,2,0,1
CRO,ET,2022,2,0,2
